iter	Passed	Remaining
0	1	1986
1	4	2138
2	6	2099
3	8	2018
4	9	1984
5	11	1921
6	13	1908
7	15	1899
8	17	1895
9	19	1888
10	20	1884
11	22	1877
12	24	1874
13	26	1869
14	28	1870
15	30	1868
16	32	1870
17	34	1869
18	36	1869
19	38	1869
20	40	1867
21	42	1893
22	44	1902
23	46	1898
24	48	1893
25	50	1889
26	52	1886
27	54	1883
28	56	1882
29	58	1877
30	59	1874
31	61	1871
32	63	1869
33	66	1898
34	68	1898
35	70	1895
36	72	1892
37	74	1891
38	77	1902
39	78	1895
40	80	1890
41	82	1889
42	84	1885
43	86	1883
44	88	1874
45	90	1873
46	92	1871
47	94	1868
48	95	1861
49	97	1858
50	99	1849
51	101	1848
52	103	1845
53	105	1842
54	107	1841
55	109	1841
56	111	1840
57	113	1838
58	115	1835
59	116	1832
60	118	1829
61	120	1823
62	122	1820
63	124	1815
64	125	1812
65	128	1811
66	129	1807
67	131	1805
68	133	1803
69	135	1801
70	137	1799
71	139	1798
72	141	1795
73	143	1793
74	144	1785
75	146	1783
76	148	1781
77	150	1778
78	152	1773
79	153	1768
80	155	1764
81	157	1762
82	160	1777
83	162	1775
84	164	1773
85	166	1770
86	168	1768
87	170	1765
88	172	1763
89	174	1761
90	176	1758
91	177	1753
92	179	1751
93	182	1762
94	184	1760
95	187	1769
96	189	1766
97	191	1759
98	193	1759
99	195	1758
100	197	1755
101	199	1753
102	200	1750
103	202	1748
104	204	1744
105	206	1741
106	208	1738
107	210	1737
108	212	1734
109	214	1732
110	215	1729
111	217	1724
112	219	1720
113	221	1718
114	222	1715
115	225	1719
116	227	1716
117	229	1714
118	231	1712
119	233	1710
120	235	1707
121	236	1705
122	238	1701
123	240	1697
124	242	1695
125	244	1693
126	245	1690
127	247	1688
128	249	1686
129	251	1684
130	253	1682
131	255	1678
132	257	1675
133	258	1673
134	261	1672
135	264	1679
136	266	1678
137	268	1676
138	270	1673
139	272	1671
140	274	1672
141	276	1668
142	277	1665
143	279	1663
144	281	1661
145	285	1667
146	286	1664
147	288	1662
148	290	1660
149	292	1658
150	294	1656
151	296	1654
152	298	1652
153	300	1651
154	305	1663
155	307	1661
156	308	1658
157	310	1656
158	312	1653
159	314	1650
160	316	1648
161	318	1645
162	319	1642
163	321	1638
164	323	1636
165	325	1633
166	328	1636
167	330	1634
168	331	1630
169	333	1628
170	336	1632
171	338	1630
172	341	1630
173	344	1633
174	346	1631
175	347	1628
176	349	1626
177	351	1620
178	352	1618
179	354	1616
180	356	1612
181	358	1610
182	360	1607
183	361	1605
184	363	1602
185	365	1600
186	367	1597
187	369	1595
188	370	1591
189	372	1588
190	373	1584
191	375	1581
192	377	1577
193	379	1577
194	381	1575
195	383	1573
196	385	1570
197	387	1568
198	389	1566
199	390	1563
200	392	1561
201	394	1559
202	397	1559
203	399	1557
204	401	1555
205	403	1553
206	404	1551
207	406	1549
208	408	1546
209	410	1544
210	412	1542
211	414	1539
212	416	1540
213	418	1537
214	420	1534
215	421	1530
216	423	1527
217	425	1525
218	426	1521
219	428	1517
220	430	1515
221	431	1513
222	434	1515
223	436	1513
224	438	1510
225	440	1508
226	442	1505
227	443	1500
228	445	1498
229	447	1497
230	448	1494
231	450	1492
232	452	1490
233	454	1488
234	456	1485
235	458	1483
236	460	1481
237	462	1479
238	464	1478
239	466	1476
240	468	1474
241	470	1472
242	472	1470
243	474	1468
244	475	1466
245	477	1464
246	479	1462
247	481	1460
248	483	1458
249	485	1456
250	487	1455
251	489	1454
252	491	1451
253	493	1450
254	495	1447
255	497	1445
256	499	1443
257	501	1441
258	503	1439
259	504	1437
260	506	1434
261	508	1432
262	510	1429
263	512	1427
264	513	1425
265	515	1422
266	517	1420
267	519	1417
268	520	1415
269	522	1413
270	524	1411
271	526	1408
272	528	1406
273	529	1404
274	531	1402
275	533	1400
276	535	1397
277	537	1396
278	539	1394
279	541	1392
280	543	1390
281	545	1388
282	547	1386
283	549	1384
284	551	1382
285	553	1380
286	555	1379
287	556	1376
288	558	1374
289	560	1372
290	562	1370
291	564	1368
292	566	1366
293	567	1363
294	569	1361
295	571	1359
296	572	1356
297	574	1352
298	576	1350
299	577	1348
300	579	1346
301	581	1343
302	583	1341
303	585	1339
304	586	1336
305	588	1334
306	589	1331
307	591	1329
308	593	1327
309	595	1325
310	597	1323
311	599	1320
312	600	1318
313	602	1316
314	604	1314
315	606	1311
316	608	1310
317	610	1308
318	611	1305
319	613	1303
320	615	1302
321	617	1300
322	619	1298
323	621	1297
324	623	1294
325	625	1292
326	627	1290
327	628	1287
328	631	1287
329	633	1285
330	635	1283
331	637	1281
332	638	1279
333	641	1278
334	643	1277
335	645	1275
336	647	1273
337	649	1271
338	650	1268
339	652	1266
340	654	1264
341	656	1262
342	657	1260
343	659	1258
344	661	1256
345	663	1253
346	665	1252
347	667	1250
348	669	1248
349	671	1246
350	673	1244
351	675	1242
352	677	1240
353	678	1239
354	680	1237
355	682	1235
356	685	1233
357	686	1231
358	688	1229
359	690	1227
360	692	1225
361	694	1223
362	696	1221
363	698	1220
364	700	1218
365	701	1215
366	704	1214
367	706	1212
368	708	1210
369	709	1208
370	711	1206
371	713	1204
372	715	1202
373	717	1200
374	719	1198
375	721	1197
376	723	1195
377	725	1193
378	727	1191
379	729	1190
380	731	1188
381	733	1186
382	735	1184
383	737	1182
384	739	1180
385	741	1178
386	742	1176
387	744	1175
388	746	1173
389	748	1171
390	750	1169
391	752	1167
392	754	1165
393	756	1162
394	757	1160
395	759	1158
396	761	1156
397	763	1154
398	765	1152
399	767	1151
400	769	1149
401	771	1147
402	772	1145
403	774	1143
404	776	1141
405	778	1139
406	781	1138
407	783	1136
408	784	1134
409	786	1132
410	788	1130
411	790	1128
412	792	1126
413	794	1124
414	795	1122
415	797	1119
416	799	1117
417	801	1115
418	802	1113
419	804	1111
420	806	1109
421	810	1109
422	812	1107
423	814	1106
424	816	1104
425	818	1102
426	820	1100
427	821	1098
428	823	1096
429	825	1094
430	828	1093
431	830	1091
432	832	1089
433	834	1087
434	835	1085
435	837	1083
436	839	1081
437	841	1079
438	843	1077
439	845	1075
440	847	1073
441	849	1071
442	851	1070
443	853	1068
444	855	1066
445	857	1065
446	859	1063
447	861	1061
448	863	1059
449	865	1057
450	867	1055
451	869	1054
452	871	1052
453	873	1050
454	875	1048
455	877	1046
456	879	1044
457	881	1042
458	883	1041
459	885	1039
460	886	1036
461	888	1034
462	890	1032
463	892	1030
464	894	1028
465	896	1027
466	898	1025
467	900	1023
468	902	1021
469	903	1019
470	905	1017
471	907	1015
472	909	1013
473	912	1012
474	914	1010
475	916	1008
476	918	1006
477	920	1004
478	921	1002
479	923	1000
480	925	998
481	927	996
482	929	994
483	930	992
484	932	990
485	934	988
486	936	986
487	938	984
488	939	982
489	941	980
490	943	978
491	945	976
492	947	974
493	950	973
494	952	971
495	954	969
496	956	967
497	958	965
498	960	963
499	962	962
500	963	960
501	965	958
502	968	956
503	970	955
504	972	953
505	974	951
506	976	949
507	978	947
508	980	945
509	981	943
510	983	941
511	985	939
512	987	937
513	989	935
514	991	934
515	994	932
516	996	930
517	998	928
518	999	926
519	1001	924
520	1003	922
521	1005	920
522	1007	918
523	1009	917
524	1011	915
525	1013	913
526	1015	911
527	1017	909
528	1019	907
529	1022	906
530	1024	904
531	1026	902
532	1028	900
533	1029	898
534	1031	896
535	1033	895
536	1036	893
537	1038	891
538	1039	889
539	1041	887
540	1043	885
541	1045	883
542	1047	881
543	1049	879
544	1051	877
545	1053	875
546	1055	873
547	1056	871
548	1058	869
549	1060	867
550	1062	865
551	1064	863
552	1066	861
553	1068	859
554	1070	858
555	1071	856
556	1073	854
557	1075	852
558	1077	850
559	1079	848
560	1081	846
561	1082	844
562	1084	841
563	1086	839
564	1088	837
565	1089	835
566	1091	833
567	1093	831
568	1095	829
569	1097	827
570	1099	825
571	1101	824
572	1103	822
573	1105	820
574	1106	818
575	1109	816
576	1111	815
577	1113	813
578	1115	811
579	1117	809
580	1119	807
581	1121	805
582	1123	803
583	1125	801
584	1127	799
585	1129	797
586	1130	795
587	1132	793
588	1134	791
589	1136	789
590	1138	787
591	1140	785
592	1142	784
593	1144	782
594	1146	780
595	1147	778
596	1149	776
597	1151	774
598	1153	772
599	1155	770
600	1157	768
601	1159	766
602	1161	764
603	1163	762
604	1165	760
605	1167	759
606	1169	757
607	1171	755
608	1173	753
609	1175	751
610	1177	749
611	1179	747
612	1181	745
613	1183	743
614	1185	741
615	1186	739
616	1188	737
617	1190	736
618	1192	734
619	1194	732
620	1196	730
621	1198	728
622	1200	726
623	1202	724
624	1204	722
625	1206	720
626	1207	718
627	1209	716
628	1211	714
629	1213	712
630	1215	710
631	1218	709
632	1220	707
633	1221	705
634	1223	703
635	1225	701
636	1227	699
637	1230	698
638	1232	696
639	1235	694
640	1237	692
641	1239	690
642	1241	689
643	1243	687
644	1245	685
645	1246	683
646	1248	681
647	1250	679
648	1252	677
649	1254	675
650	1256	673
651	1258	671
652	1260	669
653	1262	667
654	1264	665
655	1265	663
656	1267	661
657	1269	659
658	1271	658
659	1273	656
660	1275	654
661	1277	652
662	1279	650
663	1283	649
664	1285	647
665	1289	646
666	1294	646
667	1296	644
668	1298	642
669	1300	640
670	1302	638
671	1304	636
672	1305	634
673	1307	632
674	1309	630
675	1311	628
676	1313	626
677	1315	624
678	1317	622
679	1319	620
680	1321	618
681	1322	616
682	1324	614
683	1326	612
684	1328	610
685	1330	609
686	1332	607
687	1334	605
688	1336	603
689	1338	601
690	1340	599
691	1341	597
692	1343	595
693	1345	593
694	1348	591
695	1350	589
696	1352	587
697	1353	585
698	1355	583
699	1357	581
700	1359	580
701	1361	578
702	1363	576
703	1365	574
704	1367	572
705	1369	570
706	1371	568
707	1373	566
708	1375	564
709	1377	562
710	1379	560
711	1381	558
712	1383	556
713	1385	554
714	1386	552
715	1388	550
716	1390	548
717	1392	546
718	1394	545
719	1396	543
720	1398	541
721	1400	539
722	1402	537
723	1404	535
724	1406	533
725	1408	531
726	1410	529
727	1412	527
728	1414	525
