,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(12,)",[0.6568242  0.7045866  0.68506562 0.68674061],0.6833042560988775,"('12',)",0.02740398138107266,0.01709563354695172,0.009870168630299771
2,"(12, 14)",[0.74276334 0.74443157 0.76467704 0.76166519],0.7533842834891821,"('12', '14')",0.01580898713286139,0.009862240344336942,0.005693967117615721
3,"(12, 14, 15)",[0.79971139 0.81713894 0.8268935  0.80982254],0.8133915926833593,"('12', '14', '15')",0.015954097760164314,0.00995276580754035,0.005746232018164723
4,"(11, 12, 14, 15)",[0.80506277 0.82573196 0.82148138 0.80909938],0.8153438733826814,"('11', '12', '14', '15')",0.013655389855890137,0.008518745421360446,0.004918299962180345
5,"(0, 11, 12, 14, 15)",[0.80705695 0.82816616 0.82314961 0.81396037],0.8180832711971505,"('0', '11', '12', '14', '15')",0.013069719629422251,0.008153382322041944,0.004707357478436852
6,"(0, 4, 11, 12, 14, 15)",[0.81290021 0.8321634  0.82468747 0.82014789],0.8224747385459462,"('0', '4', '11', '12', '14', '15')",0.011216638158793988,0.006997360453760149,0.004039927941595263
7,"(0, 1, 4, 11, 12, 14, 15)",[0.81676559 0.83367607 0.82417929 0.82093168],0.8238881552220997,"('0', '1', '4', '11', '12', '14', '15')",0.009990051045593432,0.006232169312038927,0.0035981446299409993
8,"(0, 1, 4, 8, 11, 12, 14, 15)",[0.81779527 0.83840816 0.81998056 0.82099083],0.824293704169693,"('0', '1', '4', '8', '11', '12', '14', '15')",0.01319321874918184,0.00823042571458487,0.004751838501860793
9,"(0, 1, 3, 4, 8, 11, 12, 14, 15)",[0.82347852 0.83765997 0.82687869 0.82324017],0.8278143349574685,"('0', '1', '3', '4', '8', '11', '12', '14', '15')",0.009399484547740403,0.0058637517346070865,0.0033854386424365364
10,"(0, 1, 3, 4, 8, 10, 11, 12, 14, 15)",[0.82482377 0.83984823 0.83077962 0.82579414],0.8303114416232148,"('0', '1', '3', '4', '8', '10', '11', '12', '14', '15')",0.009540434233696337,0.005951681446211871,0.0034362048851013247
