,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(12,)",[0.67216126 0.63424084 0.70322505 0.50762201],0.6293122892284317,"('12',)",0.11923624134455998,0.07438404877002226,0.04294565058078661
2,"(12, 15)",[0.72683957 0.7221786  0.75110006 0.69670068],0.724204727112382,"('12', '15')",0.030947078120420718,0.01930595045802396,0.011146295693901714
3,"(12, 14, 15)",[0.77769102 0.81444399 0.81152532 0.7781958 ],0.7954640331449019,"('12', '14', '15')",0.02813535149560272,0.01755188971248224,0.010133588250288244
4,"(2, 12, 14, 15)",[0.77806882 0.81599518 0.80957856 0.78214581],0.7964470921737087,"('2', '12', '14', '15')",0.026544353381493743,0.016559365292235617,0.00956055400908158
5,"(0, 2, 12, 14, 15)",[0.78611812 0.82660756 0.81292984 0.79323869],0.8047235503197624,"('0', '2', '12', '14', '15')",0.02565167599559302,0.016002479588191537,0.009239035897943875
6,"(0, 2, 11, 12, 14, 15)",[0.78698483 0.83150707 0.82026206 0.79999556],0.8096873788734218,"('0', '2', '11', '12', '14', '15')",0.027732733850473302,0.01730072169331904,0.009988576326812547
7,"(0, 2, 5, 11, 12, 14, 15)",[0.79498523 0.83069518 0.8185153  0.8026013 ],0.8116992522564412,"('0', '2', '5', '11', '12', '14', '15')",0.022232301390422197,0.013869345194437799,0.008007470181492506
8,"(0, 2, 5, 7, 11, 12, 14, 15)",[0.79669346 0.83127002 0.81950646 0.81187666],0.8148366525858276,"('0', '2', '5', '7', '11', '12', '14', '15')",0.020114055324369214,0.012547903685485189,0.007244535570580371
9,"(0, 2, 5, 7, 8, 11, 12, 14, 15)",[0.80020327 0.82951438 0.82393187 0.81770038],0.8178374754156228,"('0', '2', '5', '7', '8', '11', '12', '14', '15')",0.017641457332251732,0.011005404126958834,0.006353973035240301
10,"(0, 2, 5, 7, 8, 10, 11, 12, 14, 15)",[0.80137814 0.82580011 0.82512452 0.82182934],0.8185330307726268,"('0', '2', '5', '7', '8', '10', '11', '12', '14', '15')",0.016058123238798953,0.010017660810844955,0.005783699165791699
